name;subject;send_date;send;delivered;opened
ИХ ОСТАЛОСЬ ВСЕГО 11!;ИХ ОСТАЛОСЬ ВСЕГО 11!;2018-04-12 14:24:49;144;140;49
АНОНС НОВОГО ПРОЕКТА ОТ STONE HEDGE! Закрытое предложение! Инвест.цены!;АНОНС НОВОГО ПРОЕКТА ОТ STONE HEDGE! Закрытое предложение! Инвест.цены!;2018-04-13 14:24:22;2;2;2
Рассылка Play;Рассылка Play;2018-04-16 09:31:45;0;0;0
АНОНС НОВОГО ПРОЕКТА ОТ STONE HEDGE! Закрытое предложение! Инвест.цены!;АНОНС НОВОГО ПРОЕКТА ОТ STONE HEDGE! Закрытое предложение! Инвест.цены!;2018-04-16 15:36:32;3;3;3
1;1;2018-04-16 16:04:04;3;3;3
Финальная версия утвержденная Малковой Анастасией;Финальная версия утвержденная Малковой Анастасией;2018-04-16 16:22:00;3;3;3
STONE HEDGE СТАРТ НОВОГО ПРОЕКТА! 2 МИН. ОТ М.ТУЛЬСКАЯ! РОСТ ЦЕНЫ 20% ДО КОНЦА ГОДА!;STONE HEDGE СТАРТ НОВОГО ПРОЕКТА! 2 МИН. ОТ М.ТУЛЬСКАЯ! РОСТ ЦЕНЫ 20% ДО КОНЦА ГОДА!;2018-04-17 09:54:09;1121;1078;300
STONE HEDGE СТАРТ НОВОГО ПРОЕКТА! 2 МИН. ОТ М.ТУЛЬСКАЯ! РОСТ ЦЕНЫ 20% ДО КОНЦА ГОДА!;STONE HEDGE СТАРТ НОВОГО ПРОЕКТА! 2 МИН. ОТ М.ТУЛЬСКАЯ! РОСТ ЦЕНЫ 20% ДО КОНЦА ГОДА!;2018-04-17 12:42:11;1;1;0
STONE HEDGE СТАРТ НОВОГО ПРОЕКТА! 2 МИН. ОТ М.ТУЛЬСКАЯ! РОСТ ЦЕНЫ 20% ДО КОНЦА ГОДА!;STONE HEDGE СТАРТ НОВОГО ПРОЕКТА! 2 МИН. ОТ М.ТУЛЬСКАЯ! РОСТ ЦЕНЫ 20% ДО КОНЦА ГОДА!;2018-04-17 12:51:08;2;2;1
Арендный Бизнес. Лучшие предложения этой весны!;Арендный Бизнес. Лучшие предложения этой весны!;2018-04-18 13:51:08;26;26;11
и BMW Group - всем дарим автомобиль! Звоните!;и BMW Group - всем дарим автомобиль! Звоните!;2018-06-01 13:54:28;586;570;167
и BMW Group - всем дарим автомобиль!;и BMW Group - всем дарим автомобиль!;2018-06-01 14:39:04;492;476;189
и BMW GROUP - дарим автомобиль!;и BMW GROUP - дарим автомобиль!;2018-06-04 10:36:04;525;514;179
и BMW Group - дарим автомобиль!;и BMW Group - дарим автомобиль!;2018-06-06 08:33:16;415;402;46
Манхеттен;Манхеттен;2018-06-15 08:11:23;1;1;1
КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;2018-06-21 09:48:54;78;75;35
КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;2018-06-21 11:14:22;43;41;15
КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;КОМИССИЯ НАЛИЧНЫМИ ЗА 3 ДНЯ!;2018-06-21 12:08:16;1;1;0
